video_id,start_time,end_time,video_link,caption,general_nsi,music_nsi,environmental_nsi,extraspeech_nsi,additionalnarrative_nsi,quotedspeech_nsi,misc_nsi,nonenglish_captions
__5k7e0f3r4,0.09,2.18,https://www.youtube.com/watch?v=__5k7e0f3r4&t=0,- [Narrator] What I like about Baklava is,1,0,0,1,0,0,0,0
__5k7e0f3r4,186.146,187.562,https://www.youtube.com/watch?v=__5k7e0f3r4&t=186,"- [Man] Oh, yes!",1,0,0,1,0,0,0,0
__5k7e0f3r4,187.562,190.312,https://www.youtube.com/watch?v=__5k7e0f3r4&t=187,(cheerful music),1,1,0,0,0,0,0,0
_1KUkzS6Dko,2.268,3.87,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=2,12:00 TO 4:00 P.M.,0,0,0,0,0,0,0,0
_1KUkzS6Dko,193.425,194.894,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=193,"TELLING NBC NEWS, ""THE MAGA",1,0,0,0,0,1,0,0
_1KUkzS6Dko,199.264,199.899,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=199,"GO AWAY QUICKLY.""",1,0,0,0,0,1,0,0
_1KUkzS6Dko,516.048,518.784,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=516,&gt;&gt; Reporter: IF YOU THINK BACK,1,0,0,1,0,0,0,0
_1KUkzS6Dko,656.388,657.323,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=656,&gt;&gt; Reporter: A LOT OF THE,1,0,0,1,0,0,0,0
_1KUkzS6Dko,717.849,720.086,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=717,"HE TOLD YOU, ""THE MEGA",1,0,0,0,0,1,0,0
_1KUkzS6Dko,729.361,730.429,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=729,"ARE VERY HARD RIGHT.""",1,0,0,0,0,1,0,0
_1KUkzS6Dko,745.077,747.313,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=745,&gt;&gt; Reporter: IT WAS QUITE AN,1,0,0,1,0,0,0,0
_1KUkzS6Dko,2301.665,2302.266,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=2301,WEEKDAYS FROM 12:00 TO 4:00,0,0,0,0,0,0,0,0
_1KUkzS6Dko,2393.423,2396.56,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=2393,&gt;&gt; Reporter: AS THE GOVERNOR,1,0,0,1,0,0,0,0
_1KUkzS6Dko,2468.998,2469.733,https://www.youtube.com/watch?v=_1KUkzS6Dko&t=2468,&gt;&gt; Reporter: WE DON'T HAVE ANY,1,0,0,1,0,0,0,0
_2MaGgf1jhI,0.0,2.826,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=0,[MUSIC PLAYING],1,1,0,0,0,0,0,0
_2MaGgf1jhI,26.13,28.11,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=26,"[LAUGHS] Well, I mean,",1,0,1,0,0,0,0,0
_2MaGgf1jhI,76.995,77.73,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=76,RAY LOWE: Incredible.,1,0,0,1,0,0,0,0
_2MaGgf1jhI,114.09,114.395,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=114,[LAUGHS],1,0,1,0,0,0,0,0
_2MaGgf1jhI,133.005,133.805,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=133,[INAUDIBLE],1,0,1,0,0,0,0,0
_2MaGgf1jhI,159.83,160.63,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=159,That's [INAUDIBLE],1,0,1,0,0,0,0,0
_2MaGgf1jhI,224.37,224.655,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=224,[LAUGHS],1,0,1,0,0,0,0,0
_2MaGgf1jhI,248.14,248.94,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=248,[LAUGHS],1,0,1,0,0,0,0,0
_2MaGgf1jhI,277.86,279.93,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=277,RAY LOWE: You're around all,1,0,0,1,0,0,0,0
_2MaGgf1jhI,441.91,442.71,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=441,[LAUGHS] Absolutely.,1,0,1,0,0,0,0,0
_2MaGgf1jhI,444.95,445.23,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=444,[LAUGHS],1,0,1,0,0,0,0,0
_2MaGgf1jhI,447.93,450.98,https://www.youtube.com/watch?v=_2MaGgf1jhI&t=447,[MUSIC PLAYING],1,1,0,0,0,0,0,0
_2X5dMD6rMU,105.46,107.68,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=105,"there has been just about ""zero"" developments,",1,0,0,0,0,1,0,0
_2X5dMD6rMU,252.06,256.3,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=252,"that is built up around these ""stand-alone studs""",1,0,0,0,0,1,0,0
_2X5dMD6rMU,473.08,475.4,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=473,"which Nike call their ""Release paper"" -",1,0,0,0,0,1,0,0
_2X5dMD6rMU,499.64,505.64,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=499,"This is why Nike have decided to call it: ""Speed Control.""",1,0,0,0,0,1,0,0
_2X5dMD6rMU,834.9,840.66,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=834,"Then it has gotten a tad more ""plasticky""",1,0,0,0,0,1,0,0
_2X5dMD6rMU,905.04,908.5,https://www.youtube.com/watch?v=_2X5dMD6rMU&t=905,"That comes in these two ""Pow"" colourways to begin with.",1,0,0,0,0,1,0,0
